,Month,Number of deaths
0,Jan 07 '21,186
1,Jan 06 '21,553
2,Jan 05 '21,341
3,Jan 04 '21,42
4,Jan 03 '21,61
5,Jan 02 '21,102
6,Jan 01 '21,400
7,Dec 31,532
8,Dec 30,565
9,Dec 29,307
10,Dec 28,29
11,Dec 27,57
12,Dec 26,69
13,Dec 25,240
14,Dec 24,497
15,Dec 23,472
16,Dec 22,309
17,Dec 21,77
18,Dec 20,143
19,Dec 19,483
20,Dec 18,426
21,Dec 17,431
22,Dec 16,605
23,Dec 15,349
24,Dec 14,96
25,Dec 13,188
26,Dec 12,502
27,Dec 11,544
28,Dec 10,470
29,Dec 09,568
30,Dec 08,411
31,Dec 07,92
32,Dec 06,228
33,Dec 05,502
34,Dec 04,531
35,Dec 03,620
36,Dec 02,609
37,Dec 01,449
38,Nov 30,121
39,Nov 29,283
40,Nov 28,599
41,Nov 27,579
42,Nov 26,580
43,Nov 25,674
44,Nov 24,540
45,Nov 23,156
46,Nov 22,330
47,Nov 21,574
48,Nov 20,626
49,Nov 19,637
50,Nov 18,603
51,Nov 17,357
52,Nov 16,143
53,Nov 15,303
54,Nov 14,548
55,Nov 13,419
56,Nov 12,275
57,Nov 11,429
58,Nov 10,330
59,Nov 09,173
60,Nov 08,236
61,Nov 07,349
62,Nov 06,445
63,Nov 05,367
64,Nov 04,372
65,Nov 03,227
66,Nov 02,92
67,Nov 01,152
68,Oct 31,280
69,Oct 30,202
70,Oct 29,301
71,Oct 28,234
72,Oct 27,132
73,Oct 26,45
74,Oct 25,87
75,Oct 24,178
76,Oct 23,153
77,Oct 22,168
78,Oct 21,130
79,Oct 20,107
80,Oct 19,41
81,Oct 18,49
82,Oct 17,84
83,Oct 16,132
84,Oct 15,91
85,Oct 14,116
86,Oct 13,63
87,Oct 12,35
88,Oct 11,31
89,Oct 10,53
90,Oct 09,52
91,Oct 08,76
92,Oct 07,75
93,Oct 06,58
94,Oct 05,29
95,Oct 04,26
96,Oct 03,34
97,Oct 02,27
98,Oct 01,30
99,Sep 30,30
100,Sep 29,36
101,Sep 28,15
102,Sep 27,8
103,Sep 26,32
104,Sep 25,23
105,Sep 24,25
106,Sep 23,28
107,Sep 22,18
108,Sep 21,5
109,Sep 20,11
110,Sep 19,12
111,Sep 18,17
112,Sep 17,16
113,Sep 16,10
114,Sep 15,24
115,Sep 14,15
116,Sep 13,6
117,Sep 12,13
118,Sep 11,10
119,Sep 10,12
120,Sep 09,11
121,Sep 08,12
122,Sep 07,3
123,Sep 06,7
124,Sep 05,13
125,Sep 04,8
126,Sep 03,14
127,Sep 02,20
128,Sep 01,19
129,Aug 31,6
130,Aug 30,1
131,Aug 29,14
132,Aug 28,9
133,Aug 27,15
134,Aug 26,17
135,Aug 25,17
136,Aug 24,5
137,Aug 23,4
138,Aug 22,13
139,Aug 21,13
140,Aug 20,12
141,Aug 19,17
142,Aug 18,11
143,Aug 17,8
144,Aug 16,8
145,Aug 15,11
146,Aug 14,15
147,Aug 13,13
148,Aug 12,9
149,Aug 11,12
150,Aug 10,2
151,Aug 09,7
152,Aug 08,13
153,Aug 07,13
154,Aug 06,18
155,Aug 05,18
156,Aug 04,6
157,Aug 03,1
158,Aug 02,10
159,Aug 01,5
160,Jul 31,7
161,Jul 30,15
162,Jul 29,12
163,Jul 28,6
164,Jul 27,5
165,Jul 26,7
166,Jul 25,9
167,Jul 24,4
168,Jul 23,9
169,Jul 22,6
170,Jul 21,9
171,Jul 20,4
172,Jul 19,6
173,Jul 18,6
