,Month,Number of goals
0,Miroslav Klose,71
1,Gerd Müller,68
2,Joachim Streich,59
3,Lukas Podolski,49
4,Jürgen Klinsmann,47
5,Rudi Völler,47
6,Karl-Heinz Rummenigge,45
7,Uwe Seeler,43
8,Michael Ballack,42
9,Thomas Müller,38
10,Oliver Bierhoff,37
11,Ulf Kirsten,34
12,Fritz Walter,33
13,Klaus Fischer,32
14,Mario Gomez,31
15,Ernst Lehner,31
16,Andreas Möller,29
17,Edmund Conen,27
18,Eberhard Vogel,27
19,Hans-Jürgen Kreische,27
20,Bastian Schweinsteiger,24
21,Richard Hofmann,24
22,Mesut Özil,23
23,Lothar Matthäus,23
24,André Schürrle,22
25,Helmut Rahn,21
26,Max Morlock,21
27,Rainer Ernst,20
28,Karl Hohmann,20
29,Kevin Kurányi,19
30,Jürgen Sparwasser,19
31,Henning Frenzel,19
32,Pierre Littbarski,18
33,Andreas Thom,18
34,Toni Kroos,17
35,Wolfgang Overath,17
36,Klaus Allofs,17
37,Otto Siffling,17
38,Helmut Schön,17
39,Martin Hoffmann,17
40,Mario Götze,17
41,Karl-Heinz Riedle,16
42,Willi Hahnemann,16
43,Peter Ducke,16
44,Jürgen Nöldner,16
45,Hans Schäfer,15
46,Franz Beckenbauer,14
47,Matthias Sammer,14
48,Jupp Heynckes,14
49,Tull Harder,14
