,Country,Number of days
0,Turkey,5
1,Serbia,19
2,Uruguay,20
3,Latvia,22
4,Lithuania,22
5,Azerbaijan,23
6,Georgia,24
7,Estonia,24
8,Croatia,26
9,Cyprus,26
10,Grenada,26
11,Mongolia,26
12,Hungary,29
13,Sri Lanka,30
14,Belize,31
15,Jordan,32
16,Bulgaria,32
17,Slovenia,33
18,Greece,33
19,Austria,34
20,Malaysia,34
21,Sweden,34
22,Albania,35
23,Kosovo,35
24,Saint Lucia,35
25,Poland,35
26,Germany,36
27,Portugal,36
28,Denmark,36
29,Italy,36
30,Ukraine,37
31,Liechtenstein,37
32,North Macedonia,38
33,Uganda,38
34,Romania,38
35,Luxembourg,39
36,Montenegro,40
37,Switzerland,40
38,Slovakia,40
39,Palestine,41
40,San Marino,41
41,Myanmar,42
42,Norway,43
43,Bosnia and Herzegovina,43
44,Dominica,44
45,Canada,45
46,Tunisia,45
47,Finland,46
48,Monaco,47
49,Czechia,47
50,United Kingdom,47
51,France,48
52,Morocco,48
53,Netherlands,48
54,Lebanon,48
55,Malta,49
56,Botswana,49
57,Belgium,51
58,Armenia,51
59,Iran,52
60,Andorra,54
61,Angola,54
62,Kenya,54
63,United States,57
64,Nepal,59
65,Japan,61
66,Libya,61
67,Moldova,62
68,Russia,62
69,Vatican,63
70,Spain,63
71,Syria,66
72,Paraguay,67
73,World,68
74,Indonesia,69
75,Belarus,70
76,Ireland,70
77,Iceland,73
78,Guyana,73
79,Costa Rica,75
80,Argentina,75
81,Mozambique,76
82,United Arab Emirates,76
83,Burkina Faso,77
84,Jamaica,78
85,Bahamas,78
86,Cape Verde,79
87,Togo,87
88,Trinidad and Tobago,87
89,Israel,87
90,India,90
91,Cuba,91
92,Iraq,92
93,Colombia,92
94,Eritrea,95
95,Mali,95
96,South Korea,96
97,Venezuela,98
98,Panama,99
99,Ethiopia,99
100,Mexico,100
101,Algeria,100
102,Namibia,101
103,Lesotho,101
104,Philippines,103
105,Bhutan,106
106,Honduras,109
107,Rwanda,111
108,Maldives,113
109,Papua New Guinea,113
110,Uzbekistan,116
111,Brazil,117
112,Guatemala,117
113,Zimbabwe,117
114,Gambia,118
115,Ecuador,120
116,Zambia,121
117,Barbados,122
118,Laos,122
119,Suriname,123
120,Peru,123
121,Kuwait,124
122,Eswatini,125
123,Bahrain,125
124,El Salvador,126
125,Dominican Republic,129
126,Kyrgyzstan,129
127,Vietnam,131
128,Bangladesh,131
129,Kazakhstan,134
130,Bolivia,137
131,Burundi,140
132,Niger,141
133,South Africa,142
134,Madagascar,142
135,Australia,142
136,Congo,143
137,Guinea,145
138,Cambodia,146
139,Malawi,146
140,Saint Vincent and the Grenadines,147
141,Sudan,148
142,Nigeria,148
143,Ghana,150
144,Oman,150
145,Senegal,150
146,Antigua and Barbuda,150
147,Benin,150
148,Chad,151
149,Nicaragua,153
150,Mauritania,153
151,Comoros,156
152,Seychelles,158
153,Fiji,158
154,Tajikistan,159
155,Cote d'Ivoire,161
156,Liberia,163
157,Democratic Republic of Congo,164
158,Chile,164
159,Equatorial Guinea,165
160,Pakistan,165
161,Saudi Arabia,169
162,Yemen,172
163,Egypt,172
164,Cameroon,173
165,Gabon,175
166,Haiti,179
167,Central African Republic,180
168,Sierra Leone,181
169,Afghanistan,183
170,Qatar,188
171,South Sudan,189
172,Sao Tome and Principe,190
173,Somalia,190
174,Guinea-Bissau,199
175,Djibouti,200
176,Singapore,208
177,Tanzania,236
178,Timor,242
179,Saint Kitts and Nevis,244
180,Mauritius,251
181,Taiwan,252
182,New Zealand,252
183,Thailand,253
184,Brunei,269
185,China,305
