,profession,Number of female employees in thousands
0,Salesperson,4517
1,Education specialist,3637
2,Business and administration specialist,3450
3,Mid-qualified specialized economic and administrative activity personnel,2505
4,Mid-qualified healthcare personnel,2373
5,Individual services industry worker,2284
6,Manager,1946
7,"Law, human sciences, and culture specialist",1916
8,Domestic worker or cleaning staff,1144
9,"Worker in food, wood, textile, or apparel industry or related",1099
10,Healthcare specialist,1066
