,Month,Price in euros per square meter
0,Dec 2020,11.1
1,Nov 2020,11.2
2,Oct 2020,11.2
3,Sep 2020,11.3
4,Aug 2020,11.2
5,Jul 2020,11.2
6,Jun 2020,11.1
7,May 2020,10.6
8,Apr 2020,10.3
9,Mar 2020,10.1
10,Feb 2020,10.1
11,Jan 2020,10.0
12,Dec 2019,10.1
13,Nov 2019,10.1
14,Oct 2019,10.2
15,Sep 2019,10.2
16,Aug 2019,10.2
17,Jul 2019,10.2
18,Jun 2019,10.1
19,May 2019,10.0
20,Apr 2019,9.9
21,Mar 2019,9.8
22,Feb 2019,9.8
23,Jan 2019,9.8
24,Dec 2018,9.8
25,Nov 2018,9.8
26,Oct 2018,9.8
27,Sep 2018,9.8
28,Aug 2018,9.8
29,Jul 2018,9.8
30,Jun 2018,9.7
31,May 2018,9.5
32,Apr 2018,9.5
33,Mar 2018,9.4
34,Feb 2018,9.4
35,Jan 2018,9.4
