,Response,Percentage of one-year-old children
0,Hungary,99%
1,Luxembourg,99%
2,Portugal,99%
3,China,99%
4,Israel,98%
5,Latvia,98%
6,Russian Federation,98%
7,Korea,98%
8,Greece,97%
9,Japan,97%
10,Spain,97%
11,Germany,97%
12,Mexico,97%
13,Sweden,97%
14,Slovak Republic,96%
15,Norway,96%
16,Finland,96%
17,Belgium,96%
18,Czech Republic,96%
19,Turkey,96%
20,Denmark,95%
21,Switzerland,95%
22,Australia,95%
23,Austria,95%
24,OECD36,94.83%
25,Costa Rica,94%
26,Chile,93%
27,Colombia,93%
28,Iceland,93%
29,Slovenia,93%
30,Poland,93%
31,Netherlands,93%
32,Italy,93%
33,United States,92%
34,Lithuania,92%
35,New Zealand,92%
36,United Kingdom,92%
37,Ireland,92%
38,Canada,90%
39,France,90%
40,Estonia,87%
41,Brazil,84%
42,India,84%
43,South Africa,81%
44,Indonesia,78%
