,Year,GDP per capita in U.S. dollars
0,2024*,37611.57
1,2023*,36465.68
2,2022*,35442.54
3,2021*,34439.78
4,2020*,33431.25
5,2019*,32946.52
6,2018,34320.75
7,2017,32195.43
8,2016,30823.99
9,2015,30153.43
10,2014,35456.72
11,2013,35219.82
12,2012,34469.65
13,2011,38003.36
14,2010,35657.65
15,2009,36849.94
16,2008,40689.11
17,2007,37685.36
18,2006,33339.75
19,2005,31958.53
20,2004,31239.99
21,2003,27488.53
22,2002,22288.64
23,2001,20419.54
24,2000,20112.61
25,1999,21967.88
26,1998,22282.16
27,1997,21808.66
28,1996,23032.91
29,1995,20607.14
30,1994,19152.13
31,1993,18575.43
32,1992,23119.69
33,1991,21798.6
34,1990,20654.54
35,1989,16562.29
36,1988,15936.29
37,1987,14387.76
38,1986,11462.72
39,1985,8094.69
40,1984,7841.82
