,Quarter,Number of licensed vehicles
0,Q3 2019,228286
1,Q2 2019,209708
2,Q1 2019,198837
3,Q4 2018,185866
4,Q3 2018,172048
5,Q2 2018,157887
6,Q1 2018,145213
7,Q4 2017,132221
8,Q3 2017,120796
9,Q2 2017,107587
10,Q1 2017,97567
11,Q4 2016,85183
12,Q3 2016,76950
13,Q2 2016,66891
14,Q1 2016,58355
15,Q4 2015,47629
16,Q3 2015,41209
17,Q2 2015,35250
18,Q1 2015,29830
19,Q4 2014,21975
20,Q3 2014,16874
21,Q2 2014,12176
22,Q1 2014,9980
23,Q4 2013,8300
24,Q3 2013,7357
25,Q2 2013,6387
26,Q1 2013,5536
27,Q4 2012,4951
28,Q3 2012,4223
29,Q2 2012,3564
30,Q1 2012,2961
31,Q4 2011,2649
32,Q3 2011,2526
33,Q2 2011,2206
34,Q1 2011,1881
35,Q4 2010,1568
36,Q3 2010,1495
37,Q2 2010,1476
38,Q1 2010,1481
