,Year,GDP per capita in U.S. dollars
0,2025*,5255.7
1,2024*,4994.51
2,2023*,4747.44
3,2022*,4526.03
4,2021*,4347.0
5,2020*,4173.85
6,2019*,4425.69
7,2018,4341.04
8,2017,4273.91
9,2016,4224.8
10,2015,4218.83
11,2014,4129.99
12,2013,4054.77
13,2012,3930.95
14,2011,3826.55
15,2010,3679.19
16,2009,3492.1
17,2008,3384.15
18,2007,2762.82
19,2006,2537.3
20,2005,2203.09
21,2004,2061.46
22,2003,1889.22
23,2002,1812.29
24,2001,1728.16
25,2000,1657.91
26,1999,1624.98
27,1998,1605.61
28,1997,1499.56
29,1996,1469.0
30,1995,1454.17
31,1994,1409.79
32,1993,1320.38
33,1992,1353.05
34,1991,1157.62
35,1990,1168.51
36,1989,1252.55
37,1988,1944.32
38,1987,2158.26
39,1986,2126.68
40,1985,1726.94
