,State,Number of burglaries
0,California,152555
1,Texas,113902
2,Florida,63396
3,North Carolina,54447
4,Ohio,43894
5,Georgia,39506
6,Washington,34540
7,Illinois,34433
8,Tennessee,29869
9,Arizona,28699
10,Michigan,28572
11,New York,27600
12,South Carolina,27461
13,Louisiana,26918
14,Oklahoma,26577
15,Missouri,26414
16,Alabama,26079
17,Pennsylvania,23354
18,Indiana,21795
19,Colorado,20064
20,Mississippi,18660
21,Arkansas,18095
22,Maryland,16862
23,New Jersey,16399
24,Minnesota,15927
25,Nevada,15510
26,Kentucky,15443
27,Oregon,14724
28,New Mexico,14610
29,Virginia,13900
30,Wisconsin,12667
31,Massachusetts,12341
32,Iowa,11710
33,Kansas,9984
34,Utah,8871
35,Connecticut,6441
36,West Virginia,5891
37,Hawaii,5340
38,Nebraska,4745
39,Idaho,3927
40,Alaska,3563
41,Delaware,2968
42,Montana,2887
43,South Dakota,2646
44,North Dakota,2608
45,Maine,2350
46,Rhode Island,2321
47,District of Columbia,1843
48,New Hampshire,1717
49,Wyoming,1396
50,Vermont,1275
