,war,Number of military deaths
0,Malaya  (1948-1960),1442
1,Northern Ireland (1969-2007),1441
2,Korea (1950-54),1129
3,Palestine  (1945-48),754
4,Afghanistan (2001-present),457
5,Suez  (1951-54),405
6,Cyprus  (1955-59),358
7,Falklands  (1982),237
8,Iraq  (2003-2011),178
9,South Arabia  (1964-67),160
10,Borneo  (1962-66),140
11,Kenya (1952-56),95
12,Balkans (1992-present),72
13,Arabian Peninsular  (1957-60),60
14,Yangtze  (1949),45
15,Gulf  (1990-91),45
16,Malay Peninsula  (1964-66),39
17,Dhofar  (1969-76),25
18,Berlin Airlift  (1948-49),25
19,Near East/Suez (1956),24
20,Radfan  (1964),13
21,Cyprus (1964-present),13
22,Brunei (1962),7
23,Air Operations Iraq  (1991-2003),7
24,Rhodesia  (1979-1980),5
25,Sierra Leone  (2000-2002),5
26,Iraq & Syria (2014-present),3
27,Congo  (1960-64),2
28,Cambodia  (1991-1993),1
29,Libya  (2011),1
30,Malawi (2019-present),1
