,Year,Inflation rate compared to previous year
0,2025*,5%
1,2024*,5.01%
2,2023*,5.01%
3,2022*,5%
4,2021*,5%
5,2020*,5.3%
6,2019,5.2%
7,2018,4.69%
8,2017,7.99%
9,2016,6.32%
10,2015,6.58%
11,2014,6.88%
12,2013,5.72%
13,2012,9.38%
14,2011,14.02%
15,2010,4.31%
16,2009,10.55%
17,2008,15.1%
18,2007,4.27%
19,2006,6.04%
20,2005,7.82%
21,2004,8.38%
22,2003,5.98%
23,2002,2.16%
24,2001,5.82%
25,2000,7.77%
26,1999,4.98%
27,1998,5.61%
28,1997,12.1%
29,1996,8.86%
30,1995,1.55%
31,1994,28.81%
32,1993,45.98%
33,1992,27.33%
34,1991,20.08%
35,1990,17.78%
36,1989,13.79%
37,1988,12.27%
38,1987,8.64%
39,1986,2.53%
40,1985,13.01%
