,Cruise line (ship name) / planned delivery,Passenger capacity
0,Royal Caribbean (Oasis III) Aug 2016,5400
1,MSC (unnamed) Sep 2017,4500
2,NCL (Norwegian Escape) Oct 2015,4200
3,Norwegian (Norwegian Bliss) Mar 2017,4200
4,Royal Caribbean (Ovation of the Seas) Aug 2016,4180
5,MSC (Seaside) Nov 2017,4140
6,Royal Caribbean (Anthem of the Seas) Jun 2015,4100
7,Carnival (Vista) Oct 2016,4000
8,P&O Cruises (P&O Britannia) Feb 2015,3611
9,Princess (unnamed) Jul 2016,3560
10,AIDA Cruises (AIDAprima) Oct 2015,3250
11,AIDA Cruises (unnamed) Mar 2016,3250
12,Holland America (Koningsdam) Feb 2016,2660
13,Tui Cruises (Mein Schiff 4) May 2015,2500
14,Clive Palmer (Titanic II) Nov 2016,1680
15,Viking Ocean Cruises (Viking Sea) Oct 2016,928
16,Viking Ocean Cruises (Viking Star) May 2015,928
17,Viking Ocean Cruises (Viking Sky) Mar 2016,928
18,Viking Ocean Cruises (unnamed) Mar 2017,928
19,Regent Seven Seas (Explorer) Aug 2016,738
20,Compagnie du Ponant (Le Lyrial) May 2015,264
21,Seabourn Cruise Line (unnamed) Oct 2016,225
