,Year,GDP per capita in U.S. dollars
0,2024,38586.47
1,2023,38056.96
2,2022,37642.59
3,2021,37386.47
4,2020,37375.27
5,2019,37749.88
6,2018,39709.01
7,2017,37251.94
8,2016,36226.23
9,2015,37380.57
10,2014,43340.02
11,2013,43197.43
12,2012,42723.58
13,2011,41194.73
14,2010,35064.26
15,2009,30920.45
16,2008,39074.84
17,2007,41472.29
18,2006,44313.59
19,2005,43988.67
20,2004,39304.51
21,2003,35017.31
22,2002,32790.71
23,2001,32621.29
24,2000,34688.98
25,1999,27321.04
26,1998,25897.65
27,1997,29523.49
28,1996,29058.86
29,1995,26394.42
30,1994,25762.53
31,1993,25654.37
32,1992,25960.97
33,1991,25847.41
34,1990,26621.51
35,1989,20478.53
36,1988,18435.2
37,1987,21644.07
38,1986,20533.02
39,1985,27036.0
40,1984,29017.09
