,Year,Passports issued in millions
0,1974,2.42
1,1975,2.33
2,1976,2.82
3,1977,3.12
4,1978,3.23
5,1979,3.17
6,1980,3.02
7,1981,3.22
8,1982,3.76
9,1983,4.12
10,1984,4.72
11,1985,4.97
12,1986,4.11
13,1987,4.87
14,1988,4.06
15,1989,3.69
16,1990,3.69
17,1991,3.39
18,1992,3.28
19,1993,4.21
20,1994,4.9
21,1995,5.26
22,1996,5.55
23,1997,6.3
24,1998,6.54
25,1999,6.72
26,2000,7.29
27,2001,7.12
28,2002,7.0
29,2003,7.3
30,2004,8.83
31,2005,10.12
32,2006,12.13
33,2007,18.38
34,2008,16.13
35,2009,14.17
36,2010,14.79
37,2011,12.61
38,2012,13.13
39,2013,13.53
40,2014,14.09
41,2015,15.56
42,2016,18.68
43,2017,21.38
44,2018,21.1
45,2019,20.69
46,2020,11.71
