,Country,Income per capita in U.S. dollars
0,Bahamas,31780.0
1,Puerto Rico,21970.0
2,St. Kitts and Nevis,19030.0
3,Barbados,17380.0
4,Trinidad and Tobago,16890.0
5,Antigua and Barbuda,16660.0
6,Uruguay,16230.0
7,Chile,15010.0
8,Panama,14950.0
9,Costa Rica,11700.0
10,Argentina,11200.0
11,St. Lucia,11020.0
12,Grenada,9980.0
13,Mexico,9430.0
14,Brazil,9130.0
15,Regional average,8775.3
16,Dominica,8090.0
17,Dominican Republic,8090.0
18,St. Vincent and the Grenadines,7460.0
19,Peru,6740.0
20,Colombia,6510.0
21,Ecuador,6080.0
22,Suriname,5540.0
23,Paraguay,5510.0
24,Jamaica,5250.0
25,Guyana,5180.0
26,Guatemala,4610.0
27,Belize,4450.0
28,El Salvador,4000.0
29,Bolivia,3530.0
30,Honduras,2390.0
31,Nicaragua,1910.0
32,Haiti,790.0
