,Month,Units sold
0,Dec 19,38
1,Nov 19,41
2,Oct 19,75
3,Sep 19,126
4,Aug 19,212
5,Jul 19,388
6,Jun 19,522
7,May 19,504
8,Apr 19,410
9,Mar 19,1015
10,Feb 19,201
11,Jan 19,490
12,Dec 18,384
13,Nov 18,488
14,Oct 18,533
15,Sep 18,1583
16,Aug 18,277
17,Jul 18,535
18,Jun 18,633
19,May 18,636
20,Apr 18,495
21,Mar 18,1201
22,Feb 18,265
23,Jan 18,601
24,Dec 17,456
25,Nov 17,527
26,Oct 17,580
27,Sep 17,1701
28,Aug 17,303
29,Jul 17,769
30,Jun 17,881
31,May 17,924
32,Apr 17,965
33,Mar 17,2172
34,Feb 17,294
35,Jan 17,751
36,Dec 16,848
37,Nov 16,921
38,Oct 16,902
39,Sep 16,2381
40,Aug 16,352
41,Jul 16,873
