,Response,Share of GDP
0,Haiti,19.5%
1,Nicaragua,15.41%
2,Dominica,12.58%
3,Guyana,12.37%
4,Bolivia,12.22%
5,Honduras,10.72%
6,Suriname,10.39%
7,Paraguay,10.08%
8,Belize *,9.56%
9,Guatemala,9.37%
10,Ecuador,9%
11,Argentina,7.2%
12,St. Vincent and the Grenadines,7.15%
13,Peru *,6.89%
14,Colombia,6.74%
15,Jamaica,6.6%
16,Uruguay,5.9%
17,Grenada,5.84%
18,Dominican Republic,5.16%
19,El Salvador,5.08%
20,Brazil,4.44%
21,Costa Rica,4.25%
22,Cuba *,3.78%
23,Chile,3.54%
24,Mexico,3.47%
25,Panama,2.13%
26,St. Lucia,2.01%
27,Antigua and Barbuda,1.76%
28,Saint Kitts and Nevis,1.31%
29,Trinidad and Tobago *,1.03%
30,Bahamas*,0.89%
31,Puerto Rico *,0.78%
