,Organisation,Budget authority in million U.S. dollars
0,Federal Emergency Management Agency,28708.82
1,U.S. Customs and Border Protection,20850.39
2,U.S. Coast Guard,11339.98
3,U.S. Immigration and Customs Enforcement,9308.59
4,Transportation Security Administration,7785.63
5,United States Citizenship and Immigration Services,4840.41
6,Cybersecurity and Infrastructure Security Agency,3168.08
7,U.S. Secret Service,2573.98
8,Management Directorate,1698.6
9,Science and Technology Directorate,582.12
10,Countering Weapons of Mass Destruction,423.16
11,Federal Law Enforcement Training Centers,350.94
12,Analysis and Operations,276.64
13,Office of Inspector General,170.19
