,Year,Gross domestic product in billion international dollars
0,2021*,34.67
1,2020*,32.07
2,2019*,31.91
3,2018*,30.47
4,2017,29.07
5,2016,29.23
6,2015,30.63
7,2014,29.79
8,2013,27.36
9,2012,25.43
10,2011,22.93
11,2010,22.43
12,2009,19.52
13,2008,18.6
14,2007,17.71
15,2006,16.7
16,2005,16.1
17,2004,14.42
18,2003,10.51
19,2002,8.99
20,2001,8.16
21,2000,7.15
22,1999,7.06
23,1998,7.0
24,1997,6.47
25,1996,6.02
26,1995,5.79
27,1994,5.72
28,1993,5.31
29,1992,5.29
30,1991,5.06
31,1990,4.43
32,1989,4.14
33,1988,3.91
34,1987,3.51
35,1986,3.3
36,1985,3.06
37,1984,2.74
