,Response,Percentage of change compared to previous year
0,2025*,2.24%
1,2024*,2.6%
2,2023*,3.56%
3,2022*,4.04%
4,2021*,7%
5,2020*,-12.31%
6,2019,1.08%
7,2018,4.1%
8,2017,4.66%
9,2016,1.65%
10,2015,5.18%
11,2014,5%
12,2013,1.54%
13,2012,2.71%
14,2011,5.64%
15,2010,13.13%
16,2009,-13.08%
17,2008,-2.23%
18,2007,2.5%
19,2006,6.63%
20,2005,6.53%
21,2004,11.4%
22,2003,4.92%
23,2002,3.64%
24,2001,-2.8%
25,2000,12.89%
26,1999,11.3%
27,1998,11.69%
28,1997,13.47%
29,1996,8.69%
30,1995,8.01%
31,1994,11.93%
32,1993,8.65%
33,1992,7.01%
34,1991,-0.15%
35,1990,3.58%
