,Title,Units sold
0,"Astérix 38 : La fille de VercingétorixJean-Yves Ferri, Didier Conrad",1573700
1,La jeune fille et la nuitGuillaume Musso,565200
2,La vie secrète des écrivainsGuillaume Musso,391000
3,SérotonineMichel Houellebecq,384700
4,Tous les hommes n'habitent pas le monde de la même façonJean-Paul Dubois,367600
5,Changer l'eau des fleursValérie Perrin,363200
6,La panthère des neigesSylvain Tesson,351900
7,La tresseLaetitia Colombani,293400
8,Il est grand temps de rallumer les étoilesVirginie Grimaldi,279300
9,Ta deuxième vie commence quand tu comprends que... Raphaëlle Giordano,270200
