,Telecommunication company,Number of employees
0,Telia Company AB,23614
1,Eltel AB,7563
2,Tele2 AB,6905
3,Eltel Networks Infranet AB,2033
4,Telenor Sverige AB,1612
5,Transtema Group AB,589
6,Teracom AB,482
7,Svenska Rymd AB,478
8,Sinch AB (publ),385
9,TelaVox AB,235
10,A3 Allmänna IT - och Telekom AB,199
11,Verizon Sweden AB,114
12,Telenor Connexion AB,109
13,Rebtel Owners AB,91
14,Iver Sverige AB,90
15,Geomatikk Sverige Support AB,89
16,Invisio Communications AB,80
17,Nordic Entertainment Group Technology AB,73
18,Seamless Distribution Systems AB,57
19,Sonetel AB (publ),52
