,Year,Inflation rate compared to previous year
0,2025*,2%
1,2024*,2%
2,2023*,2%
3,2022*,1.9%
4,2021*,0.6%
5,2020*,-0.2%
6,2019,0.88%
7,2018,0.71%
8,2017,0.25%
9,2016,-0.19%
10,2015,-0.03%
11,2014,0.3%
12,2013,0.54%
13,2012,1.89%
14,2011,1.2%
15,2010,-1.62%
16,2009,-1.68%
17,2008,3.12%
18,2007,2.9%
19,2006,2.67%
20,2005,2.2%
21,2004,2.3%
22,2003,4.01%
23,2002,4.69%
24,2001,3.99%
25,2000,5.3%
26,1999,2.44%
27,1998,2.12%
28,1997,1.25%
29,1996,2.17%
30,1995,2.52%
31,1994,2.37%
32,1993,1.42%
33,1992,3.15%
34,1991,3.13%
35,1990,3.36%
36,1989,3.99%
37,1988,2.17%
38,1987,3.15%
39,1986,3.04%
40,1985,5.47%
