,Match,Number of TV viewers in thousands
0,"SSC Napoli - Juventus FC(Jun 17, 2020)",10202
1,"Juventus FC - AC Milan(Jun 12, 2020)",8277
2,"AC Milan - Juventus FC(Feb 2, 2020)",8095
3,"SSC Napoli - FC Internazionale(Jun 6, 2020)",7119
4,"FC Internazionale - SSC Napoli(Feb 12, 2020)",6859
5,"Juventus FC - AS Roma(Jan 22, 2020)",6577
6,"SSC Napoli - SS Lazio(Jan 21, 2020)",5679
7,"FC Internazionale - ACF Fiorentina(Jan 29, 2020)",5561
8,"AC Milan - Torino FC(Jan 28, 2020)",5265
9,"Juventus FC - Udinese Calcio(Jan 15, 2020)",4731
