,Month,Retail sales in thousand GBP
0,Sep 19,38801106
1,Aug 19,31295749
2,Jul 19,32547984
3,Jun 19,39419993
4,May 19,31259500
5,Apr 19,31325553
6,Mar 19,37793063
7,Feb 19,29029991
8,Jan 19,28315822
9,Dec 18,48612645
10,Nov 18,35323519
11,Oct 18,31256292
12,Sep 18,37598110
13,Aug 18,30471399
14,Jul 18,31462048
15,Jun 18,38083839
16,May 18,30649708
17,Apr 18,29275979
18,Mar 18,36078421
19,Feb 18,27966054
20,Jan 18,27398059
21,Dec 17,47665952
22,Nov 17,34159415
23,Oct 17,30597000
24,Sep 17,36510551
25,Aug 17,29491408
26,Jul 17,30244361
27,Jun 17,36981824
28,May 17,29475056
29,Apr 17,29717329
30,Mar 17,35048461
31,Feb 17,27509331
32,Jan 17,27014095
33,Dec 16,46947236
34,Nov 16,33690506
35,Oct 16,30582064
36,Sep 16,36013003
37,Aug 16,28864086
38,Jul 16,29937797
39,Jun 16,36030964
40,May 16,29181554
41,Apr 16,28258208
42,Mar 16,34599763
43,Feb 16,26770733
44,Jan 16,26820167
45,Dec 15,44133993
46,Nov 15,31826317
47,Oct 15,28549606
48,Sep 15,34653696
49,Aug 15,27190967
50,Jul 15,28354283
51,Jun 15,34989115
52,May 15,27685821
53,Apr 15,27148632
54,Mar 15,33770076
55,Feb 15,25843027
56,Jan 15,25699316
57,Dec 14,43406547
58,Nov 14,30579083
59,Oct 14,27550407
60,Sep 14,32755826
61,Aug 14,26437078
62,Jul 14,27368380
63,Jun 14,33746654
64,May 14,26612724
65,Apr 14,26579022
66,Mar 14,32108788
