,Country,Domestic,Total
0,Germany,528,528
1,United Kingdom*,402,-
2,Sweden,280,315
3,Ireland*,270,-
4,France*,264,-
5,Spain,215,1155
6,Netherlands*,147,-
7,Switzerland*,145,-
8,Italy,100,1265
9,Denmark*,99,-
10,Luxembourg*,97,-
11,Austria*,93,111
12,Belgium*,67,-
13,Poland*,60,-
14,Turkey,59,61
15,Finland,51,801
16,Portugal,39,609
17,Liechtenstein,38,38
18,Bulgaria*,37,-
19,Greece,36,53
20,Cyprus,32,590
21,Romania,29,41
22,Czechia,28,48
23,Hungary,25,30
24,Croatia,18,20
25,Slovenia,16,22
26,Slovakia,15,669
27,Malta,11,62
28,Estonia*,10,-
29,Latvia,6,540
