,Country,"Number of cases per 100,000 population"
0,Gibraltar,2471.7
1,San Marino,816.1
2,Czechia,696.0
3,United Kingdom,589.5
4,Cyprus,548.0
5,Lithuania,544.6
6,Slovenia,528.4
7,Ireland,505.6
8,Andorra,501.7
9,Liechtenstein,456.8
10,Montenegro,425.8
11,Sweden,398.7
12,Slovakia,383.1
13,Portugal,355.9
14,Latvia,328.6
15,Netherlands,321.7
16,Monaco,313.3
17,Estonia,276.1
18,Switzerland,273.1
19,Serbia,251.1
20,Denmark,246.1
21,Georgia,212.8
22,Croatia,191.2
23,Italy,189.5
24,Spain,189.0
25,Malta,171.6
26,Luxembourg,169.5
27,Austria,161.4
28,Poland,161.3
29,France,158.3
30,Moldova,151.8
31,Germany,147.2
32,Belarus,135.0
33,Romania,130.0
34,Hungary,124.3
35,Russia,120.5
36,Ukraine,116.5
37,North Macedonia,115.9
38,Albania,110.2
39,Turkey,110.1
40,Belgium,96.8
41,Bosnia and Herzegovina,89.0
42,Bulgaria,86.1
43,Kosovo,79.2
44,Armenia,76.0
45,Norway,69.2
46,Faroe Islands,49.0
47,Azerbaijan,47.8
48,Greece,41.7
49,Finland,32.5
50,Iceland,20.6
51,Vatican,0.0
