,Year,GDP per capita in U.S. dollars
0,2025*,39738.45
1,2024*,38820.75
2,2023*,37915.91
3,2022*,36689.82
4,2021*,35061.62
5,2020*,30657.3
6,2019,33159.07
7,2018,34500.21
8,2017,32367.09
9,2016,30932.78
10,2015,30213.1
11,2014,35456.72
12,2013,35219.82
13,2012,34469.65
14,2011,38003.36
15,2010,35657.65
16,2009,36849.94
17,2008,40689.11
18,2007,37685.36
19,2006,33339.75
20,2005,31958.53
21,2004,31239.99
22,2003,27488.53
23,2002,22288.64
24,2001,20419.54
25,2000,20112.61
26,1999,21967.88
27,1998,22282.16
28,1997,21808.66
29,1996,23032.91
30,1995,20607.14
31,1994,19152.13
32,1993,18575.43
33,1992,23119.69
34,1991,21798.6
35,1990,20654.54
36,1989,16562.29
37,1988,15936.29
38,1987,14387.76
39,1986,11462.72
40,1985,8094.69
