,Country,"Incarceration rate per 100,000 of national population"
0,United States,655
1,Turkey,344
2,Israel,234
3,Chile,232
4,New Zealand,199
5,Czech Republic,197
6,Poland,195
7,Slovakia,195
8,Estonia,184
9,Australia,169
10,Hungary,167
11,Mexico,158
12,United Kingdom:  England & Wales,135
13,United Kingdom: Scotland,131
14,Portugal,124
15,Spain,124
16,Canada,107
17,South Korea,106
18,Luxembourg,105
19,France,104
20,Greece,104
21,Italy,96
22,Austria,95
23,Belgium,95
24,Switzerland,81
25,United Kingdom: Northern Ireland,77
26,Germany,77
27,Ireland,76
28,Denmark,71
29,Slovenia,69
30,Netherlands,63
31,Sweden,61
32,Norway,60
33,Finland,53
34,Japan,39
35,Iceland,37
