,Year,Price in U.S. dollars per barrel
0,2020*,38.52
1,2019,56.99
2,2018,64.94
3,2017,50.88
4,2016,43.29
5,2015,48.66
6,2014,93.17
7,2013,97.98
8,2012,94.05
9,2011,94.88
10,2010,79.39
11,2009,61.73
12,2008,99.06
13,2007,72.26
14,2006,66.0
15,2005,56.44
16,2004,41.25
17,2003,31.01
18,2002,26.17
19,2001,25.9
20,2000,30.26
21,1999,19.31
22,1998,14.39
23,1997,20.61
24,1996,22.16
25,1995,18.42
26,1994,17.21
27,1993,18.45
28,1992,20.57
29,1991,21.54
30,1990,24.52
31,1989,19.68
32,1988,15.97
33,1987,19.19
34,1986,15.04
35,1985,27.99
36,1984,29.29
37,1983,30.3
38,1982,33.65
39,1981,36.08
40,1980,37.96
41,1979,25.08
42,1978,14.55
43,1977,14.22
44,1976,12.23
