,Year,Men,Women
0,Finding and picking up a penny is good luck,29%,37%
1,It’s bad luck for the groom to see the bridebefore the wedding,22%,26%
2,Seven is a lucky number,24%,23%
3,Knocking on wood prevents bad luck,17%,24%
4,It’s unlucky to walk under a ladder,20%,20%
5,Opening an umbrella indoors is bad luck,13%,15%
6,Friday the 13th is an unlucky day,13%,15%
7,Breaking a mirror brings seven years bad luck,13%,14%
8,Throwing spilled salt over the left shoulderprevents bad luck,11%,14%
9,A black cat crossing your path is bad luck,13%,12%
10,13 is an unlucky number,13%,12%
11,Stepping on a crack is bad luck,7%,7%
