,Month,Number of cases
0,Apr 2,15
1,Apr 1,9
2,Mar 31,24
3,Mar 30,8
4,Mar 29,26
5,Mar 28,21
6,Mar 27,23
7,Mar 26,35
8,Mar 25,15
9,Mar 24,51
10,Mar 23,19
11,Mar 22,61
12,Mar 21,24
13,Mar 20,6
14,Mar 19,24
15,Mar 18,13
16,Mar 17,10
17,Mar 16,0
18,Mar 15,17
19,Mar 14,16
20,Mar 13,16
21,Mar 12,0
22,Mar 11,20
23,Mar 10,9
24,Mar 9,0
25,Mar 8,10
26,Mar 7,0
27,Mar 6,6
28,Mar 5,3
29,Mar 4,0
30,Mar 3,0
31,Mar 2,3
32,Mar 1,6
33,Feb 29,2
34,Feb 28,0
35,Feb 27,0
36,Feb 26,1
37,Feb 25,0
38,Feb 24,0
39,Feb 23,0
40,Feb 22,0
41,Feb 21,1
42,Feb 20,0
43,Feb 19,0
44,Feb 18,0
45,Feb 17,0
46,Feb 16,0
47,Feb 15,0
48,Feb 14,0
49,Feb 13,0
50,Feb 12,0
51,Feb 11,0
52,Feb 10,0
53,Feb 9,0
54,Feb 8,0
55,Feb 7,0
56,Feb 6,0
57,Feb 5,0
58,Feb 4,0
59,Feb 3,0
60,Feb 2,0
61,Feb 1,0
62,Jan 31,0
63,Jan 30,0
64,Jan 29,0
65,Jan 28,0
66,Jan 27,0
67,Jan 26,0
68,Jan 25,0
69,Jan 24,0
70,Jan 23,0
71,Jan 22,0
