,Month,Number of people hospitalized
0,Jan 06 '21,16726
1,Jan 05 '21,17057
2,Jan 04 '21,17191
3,Jan 03 '21,17130
4,Jan 02 '21,16786
5,Jan 01 '21,16601
6,Dec 31,16757
7,Dec 30,16970
8,Dec 29,17228
9,Dec 28,17299
10,Dec 27,17078
11,Dec 26,16686
12,Dec 25,16457
13,Dec 24,16735
14,Dec 23,17239
15,Dec 22,17794
16,Dec 21,18521
17,Dec 20,18376
18,Dec 19,18180
19,Dec 18,18342
20,Dec 17,18542
21,Dec 16,18707
22,Dec 15,18899
23,Dec 14,19210
24,Dec 13,18813
25,Dec 12,18533
26,Dec 11,18778
27,Dec 10,18941
28,Dec 09,19131
29,Dec 08,19459
30,Dec 07,19917
31,Dec 06,19917
32,Dec 05,19363
33,Dec 04,19895
34,Dec 03,20135
35,Dec 02,20477
36,Dec 01,20855
37,Nov 30,21351
38,Nov 29,21504
39,Nov 28,21059
40,Nov 27,21476
41,Nov 26,21691
42,Nov 25,21636
43,Nov 24,22119
44,Nov 23,22405
45,Nov 22,22234
46,Nov 21,22094
47,Nov 20,22478
48,Nov 19,22643
49,Nov 18,22536
50,Nov 17,22812
51,Nov 16,23033
52,Nov 15,22458
53,Nov 14,21988
54,Nov 13,22320
55,Nov 12,22298
56,Nov 11,21899
57,Nov 10,21521
58,Nov 09,21640
59,Nov 08,20967
60,Nov 07,20214
61,Nov 06,20249
62,Nov 05,19479
63,Nov 04,19114
64,Nov 03,18654
65,Nov 02,18160
66,Nov 01,17223
67,Oct 31,16427
68,Oct 30,16144
69,Oct 29,15444
70,Oct 28,14631
71,Oct 27,13931
72,Oct 26,13291
73,Oct 25,12282
74,Oct 24,11887
75,Oct 23,11396
76,Oct 22,10788
77,Oct 21,10091
78,Oct 20,9439
79,Oct 19,8962
80,Oct 18,8375
81,Oct 17,8076
82,Oct 16,7512
83,Oct 15,6980
84,Oct 14,6538
85,Oct 13,6084
86,Oct 12,5669
87,Oct 11,5262
88,Oct 10,4924
89,Oct 09,4725
90,Oct 08,4407
91,Oct 07,4138
92,Oct 06,4000
93,Oct 05,3719
94,Oct 04,3158
95,Oct 03,2977
96,Oct 02,2850
97,Oct 01,2702
98,Sep 30,2560
99,Sep 29,2481
100,Sep 28,2399
101,Sep 27,2305
102,Sep 26,2223
103,Sep 25,2134
104,Sep 24,1995
105,Sep 23,1964
106,Sep 22,1971
107,Sep 21,1993
108,Sep 20,1979
109,Sep 19,1985
110,Sep 18,1977
111,Sep 17,1925
112,Sep 16,1917
113,Sep 15,2007
114,Sep 14,1996
115,Sep 13,1972
116,Sep 12,1961
117,Sep 11,1946
118,Sep 10,1957
119,Sep 09,1924
120,Sep 08,2070
121,Sep 07,2042
122,Sep 06,2113
123,Sep 05,2091
124,Sep 04,2090
125,Sep 03,2179
126,Sep 02,2170
127,Sep 01,2168
128,Aug 31,2138
129,Aug 30,2249
130,Aug 29,2242
131,Aug 28,2237
132,Aug 27,2221
133,Aug 26,2185
134,Aug 25,2170
135,Aug 24,2167
136,Aug 23,2207
137,Aug 22,2195
138,Aug 21,2189
139,Aug 20,2151
140,Aug 19,2110
141,Aug 18,2097
142,Aug 17,2057
143,Aug 16,2040
144,Aug 15,2035
145,Aug 14,2028
146,Aug 13,2040
147,Aug 12,2059
148,Aug 11,2021
149,Aug 10,1985
150,Aug 09,1929
151,Aug 08,1930
152,Aug 07,1928
153,Aug 06,1928
154,Aug 05,1913
155,Aug 04,1898
156,Aug 03,1859
157,Aug 02,1841
158,Aug 01,1835
159,Jul 31,1841
160,Jul 30,1778
161,Jul 29,1694
162,Jul 28,1687
163,Jul 27,1655
164,Jul 26,1625
165,Jul 25,1601
166,Jul 24,1594
167,Jul 23,1617
168,Jul 22,1626
169,Jul 21,1644
170,Jul 20,1607
171,Jul 19,1575
172,Jul 18,1560
173,Jul 17,1551
174,Jul 16,1604
175,Jul 15,1550
176,Jul 14,1575
