,Response,18-29,30-59,60+
0,Buy a product online,49%,49%,41%
1,Buy or make a reservation for travel,13%,22%,15%
2,Check weather reports and forecasts online,50%,57%,61%
3,Do any banking online,49%,55%,55%
4,Get news online,57%,64%,58%
5,Look for news and information about politics,29%,39%,40%
6,Participate in an online auction,12%,11%,8%
7,Send instant messages,49%,43%,24%
8,Send or read e-mail,77%,86%,91%
9,Use a search engine to find information,67%,72%,70%
10,Use a social networking site,74%,67%,49%
11,Use classified ads sites like Craigslist,16%,17%,12%
12,Watch a video on a video-sharing site,55%,40%,20%
13,None of the above,1%,1%,2%
14,I don’t use the Internet,0%,1%,0%
