,felony type or circumstances,Number of murder victims
0,Unknown,5744
1,Other arguments,3410
2,Other-not specified (non-felony),1714
3,Other-not specified (felony),656
4,Narcotic drug laws,591
5,Robbery,509
6,Juvenile gang killings,292
7,Gangland killings,274
8,Suspected felony type,141
9,Argument over money or property,128
10,Domestic violence,88
11,Burglary,84
12,Arson,73
13,Brawl due to influence of alcohol,46
14,Motor vehicle theft,38
15,Larceny-theft,29
16,Brawl due to influence of narcotics,29
17,Institutional killings,29
18,Child killed by babysitter,20
19,Prostitution and commercialized vice,12
20,Other sex offenses,9
21,Rape,8
22,Gambling,3
