,Month,Number of unemployed people
0,Dec 22,160307
1,Dec 21,160058
2,Dec 20,157471
3,Dec 17,157018
4,Dec 16,156606
5,Dec 15,156854
6,Dec 14,157606
7,Dec 13,155487
8,Dec 10,155986
9,Dec 9,155853
10,Dec 8,155956
11,Dec 7,156696
12,Dec 6,154625
13,Dec 3,155555
14,Dec 1,160018
15,Nov 30,155997
16,Nov 29,153463
17,Nov 26,153844
18,Nov 23,155168
19,Nov 15,154381
20,Nov 12,155149
21,Nov 11,155149
22,Nov 9,156542
23,Nov 5,155254
24,Nov 3,156115
25,Nov 2,158532
26,Oct 29,154993
27,Oct 28,154865
28,Oct 25,154096
29,Oct 22,154749
30,Oct 21,154540
31,Oct 20,154864
32,Oct 15,155878
33,Oct 14,155916
34,Oct 13,156215
35,Oct 12,159967
36,Oct 8,155753
37,Oct 6,156401
38,Oct 5,157487
39,Oct 4,155005
40,Oct 1,160682
41,Sep 30,155535
42,Sep 28,155408
43,Sep 27,153278
44,Sep 24,153817
45,Sep 23,153920
46,Sep 22,154105
47,Sep 21,154942
48,Sep 17,153910
49,Sep 15,155551
50,Sep 13,155307
51,Sep 9,156863
52,Sep 8,157710
53,Sep 7,159344
54,Sep 6,157838
55,Sep 3,159614
56,Sep 2,160636
57,Sep 1,169731
58,Aug 31,167425
59,Aug 30,165065
60,Aug 27,165870
61,Aug 26,166897
62,Aug 24,168364
63,Aug 20,168152
64,Aug 18,171456
65,Aug 17,170043
66,Aug 13,171526
67,Aug 12,172143
68,Aug 11,172870
69,Aug 10,175275
70,Aug 9,175376
71,Aug 6,175376
72,Aug 5,176105
73,Aug 4,177149
74,Aug 3,181352
75,Aug 2,178296
76,Jul 31,180440
77,Jul 29,180390
78,Jul 28,180649
79,Jul 27,181422
80,Jul 26,180358
81,Jul 23,180542
82,Jul 22,180594
83,Jul 21,180732
84,Jul 20,181269
85,Jul 19,180036
86,Jul 13,181565
87,Jul 9,180823
88,Jul 7,181628
89,Jul 6,182831
90,Jul 5,181205
91,Jul 2,185913
92,Jul 1,179877
93,Jun 29,179553
94,Jun 28,177226
95,Jun 27,176896
96,Jun 24,176540
97,Jun 23,176113
98,Jun 22,176663
99,Jun 21,174757
100,Jun 20,174871
101,Jun 18,173589
102,Jun 17,173100
103,Jun 16,174238
104,Jun 14,172775
105,Jun 13,172775
106,Jun 12,173049
107,Jun 11,173510
108,Jun 10,173802
109,Jun 9,174265
110,Jun 8,175792
111,Jun 7,174657
112,Jun 6,174798
113,Jun 5,175204
114,Jun 4,176271
115,Jun 3,176985
116,Jun 2,179319
117,Jun 1,180048
118,May 31,177688
119,May 30,177665
120,May 28,178276
121,May 27,178498
122,May 26,178635
123,May 25,179489
124,May 24,178586
125,May 23,178723
126,May 22,178729
127,May 21,178715
128,May 20,179207
129,May 19,179442
130,May 18,180241
131,May 17,179229
132,May 16,179300
133,May 15,179799
134,May 14,179851
135,May 13,179955
136,May 12,180307
137,May 11,181056
138,May 10,179912
139,May 9,180025
140,May 7,180576
141,May 6,180771
142,May 5,181068
143,May 4,182107
144,May 3,180489
145,May 2,180553
146,May 1,182975
147,April 30,178637
148,April 28,177580
149,April 27,178138
150,April 26,176916
151,April 25,177067
152,April 24,177479
153,April 22,177708
154,April 21,177858
155,April 20,178618
156,April 19,177071
157,April 18,177227
158,April 17,177622
159,April 16,177782
160,April 15,177951
161,April 14,178646
162,April 13,176807
163,April 12,176500
164,April 11,176778
165,April 10,176819
166,April 9,176827
167,April 7,176527
168,April 6,176007
169,April 5,173781
170,April 4,173936
171,April 3,174307
172,April 2,174021
173,April 1,175846
174,March 31,169794
175,March 30,168796
176,March 29,164766
177,March 28,164547
178,March 27,164674
179,March 26,163504
180,March 25,162062
181,March 24,160630
182,March 23,158920
183,March 22,153452
184,March 21,152992
185,March 20,152991
186,March 19,150844
187,March 18,148095
188,March 17,144892
189,March 16,142804
190,March 15,136402
191,March 14,135425
192,March 13,134630
193,March 12,133218
194,March 11,131742
