,Year,Gross domestic product in billion U.S. dollars
0,2024*,427.46
1,2023*,404.42
2,2022*,382.8
3,2021*,362.52
4,2020*,343.18
5,2019*,327.9
6,2018,330.97
7,2017,311.8
8,2016,282.72
9,2015,293.49
10,2014,381.24
11,2013,381.84
12,2012,370.35
13,2011,334.48
14,2010,286.04
15,2009,232.57
16,2008,242.03
17,2007,205.76
18,2006,161.36
19,2005,145.16
20,2004,115.99
21,2003,93.75
22,2002,97.02
23,2001,97.27
24,2000,98.93
25,1999,102.78
26,1998,117.32
27,1997,127.06
28,1996,115.73
29,1995,110.19
30,1994,97.33
31,1993,77.46
32,1992,68.35
33,1991,57.76
34,1990,55.88
35,1989,54.86
36,1988,54.41
37,1987,50.47
38,1986,48.48
39,1985,48.42
40,1984,53.08
