,List of activities,Share of respondents
0,Mental health services for students,58%
1,Before- and/or after-school programs/childcare,45%
2,Healthcare services for students,44%
3,Food for students outside of the school day,41%
4,"Programming for families (adult education, career support, etc.)",26%
5,Access to technology/the Internet outside of school,17%
6,Supports tailored to families from different cultural or language backgrounds,17%
7,Print or ebooks to create or grow home libraries,13%
8,"Supports for students transitioning from elementary to middle school; middle to high school, etc.",7%
9,Supports to help students who have relocated adjust to their new school,7%
