,Country,Import value in thousand euros
0,Austria,163473
1,United States of America,149279
2,France,94032
3,Germany,71820
4,Italy,71654
5,Switzerland,60995
6,Canada,45372
7,Czech Republic,32129
8,Norway,32102
9,Russian Federation,26742
10,Sweden,23399
11,Japan,22473
12,Netherlands,15062
13,Spain,13237
14,Finland,12173
15,Poland,10766
16,United Kingdom,7238
17,Australia,6534
18,Belgium,6275
19,China,5154
20,Slovakia,4925
21,"Korea, Republic of",4391
22,Romania,3812
23,Andorra,3711
24,Slovenia,3631
25,Denmark,2953
26,Ukraine,2469
27,New Zealand,2389
