,Quarter,Unemployment rate
0,Q4 '19,13.78%
1,Q3 '19,13.92%
2,Q2 '19,14.02%
3,Q1 '19,14.7%
4,Q4 '18,14.45%
5,Q3 '18,14.55%
6,Q2 '18,15.28%
7,Q1 '18,16.74%
8,Q4 '17,16.55%
9,Q3 '17,16.38%
10,Q2 '17,17.22%
11,Q1 '17,18.75%
12,Q4 '16,18.63%
13,Q3 '16,18.91%
14,Q2 '16,20%
15,Q1 '16,21%
16,Q4 '15,20.9%
17,Q3 '15,21.18%
18,Q2 '15,22.37%
19,Q1 '15,23.78%
20,Q4 '14,23.7%
21,Q3 '14,23.67%
22,Q2 '14,24.47%
23,Q1 '14,25.93%
24,Q4 '13,25.73%
25,Q3 '13,25.65%
26,Q2 '13,26.06%
27,Q1 '13,26.94%
28,Q4 '12,25.77%
29,Q3 '12,24.79%
30,Q2 '12,24.4%
31,Q1 '12,24.19%
32,Q4 '11,22.56%
33,Q3 '11,21.28%
34,Q2 '11,20.64%
35,Q1 '11,21.08%
36,Q4 '10,20.11%
37,Q3 '10,19.59%
38,Q2 '10,19.89%
39,Q1 '10,19.84%
40,Q4 '09,18.66%
41,Q3 '09,17.75%
42,Q2 '09,17.77%
43,Q1 '09,17.24%
44,Q4 '08,13.79%
45,Q3 '08,11.23%
46,Q2 '08,10.36%
47,Q1 '08,9.6%
48,Q4 '07,8.57%
49,Q3 '07,8.01%
50,Q2 '07,7.93%
51,Q1 '07,8.42%
52,Q4 '06,8.26%
53,Q3 '06,8.08%
54,Q2 '06,8.44%
55,Q1 '06,9.03%
56,Q4 '05,8.71%
57,Q3 '05,8.41%
58,Q2 '05,9.32%
59,Q1 '05,10.17%
