,Response,Percentage of adults
0,Norway,73%
1,Greece,70%
2,Sweden,66%
3,New Zealand,65%
4,Finland,64%
5,Denmark,64%
6,South Africa,64%
7,Australia,61%
8,Ireland,58%
9,Chile,57%
10,Iceland,57%
11,Czech Republic,54%
12,Serbia & Montenegro,53%
13,United Kingdom,52%
14,United States,51%
15,Croatia,51%
16,Thailand,51%
17,Turkey,49%
18,Canada,49%
19,Austria,47%
20,Global,47%
21,Taiwan,46%
22,Italy,46%
23,Bulgaria,46%
24,Switzerland,45%
25,Indonesia,45%
26,Japan,43%
27,France,42%
28,Singapore,41%
29,Israel,41%
30,Netherlands,40%
31,Belgium,40%
32,Malaysia,39%
33,Poland,37%
34,Vietnam,35%
35,China,34%
36,Portugal,34%
37,Germany,30%
38,Slovakia,30%
