,Year,Import volume in billion U.S. dollars
0,2019,40.57
1,2018,39.36
2,2017,37.37
3,2016,36.61
4,2015,33.97
5,2014,30.56
6,2013,27.29
7,2012,25.93
8,2011,25.78
9,2010,25.9
10,2009,23.28
11,2008,30.74
12,2007,32.63
13,2006,36.53
14,2005,33.69
15,2004,28.18
16,2003,25.44
17,2002,24.01
18,2001,22.34
19,2000,25.57
20,1999,21.42
21,1998,19.0
22,1997,18.03
23,1996,17.83
24,1995,17.45
25,1994,13.98
26,1993,10.56
27,1992,8.29
28,1991,6.1
29,1990,5.27
30,1989,4.74
31,1988,3.69
32,1987,2.92
33,1986,2.42
34,1985,2.3
