,Year,Effective rate
0,12/1/2019,1.55%
1,11/1/2019,1.55%
2,10/1/2019,1.83%
3,9/1/2019,2.04%
4,8/1/2019,2.13%
5,7/1/2019,2.4%
6,6/1/2019,2.38%
7,5/1/2019,2.39%
8,4/1/2019,2.42%
9,3/1/2019,2.41%
10,2/1/2019,2.4%
11,1/1/2019,2.4%
12,12/1/2018,2.27%
13,11/1/2018,2.2%
14,10/1/2018,2.19%
15,9/1/2018,1.95%
16,8/1/2018,1.91%
17,7/1/2018,1.91%
18,6/1/2018,1.82%
19,5/1/2018,1.7%
20,4/1/2018,1.69%
21,3/1/2018,1.51%
22,2/1/2018,1.42%
23,1/1/2018,1.41%
24,12/1/2017,1.3%
25,11/1/2017,1.16%
26,10/1/2017,1.15%
27,9/1/2017,1.15%
28,8/1/2017,1.16%
29,7/1/2017,1.15%
30,6/1/2017,1.04%
31,5/1/2017,0.91%
32,4/1/2017,0.9%
33,3/1/2017,0.79%
34,2/1/2017,0.66%
35,1/1/2017,0.65%
36,12/1/2016,0.54%
37,11/1/2016,0.41%
38,10/1/2016,0.4%
39,9/1/2016,0.4%
40,8/1/2016,0.4%
41,7/1/2016,0.39%
42,6/1/2016,0.38%
43,5/1/2016,0.37%
44,4/1/2016,0.37%
45,3/1/2016,0.36%
46,2/1/2016,0.38%
47,1/1/2016,0.34%
48,12/1/2015,0.24%
49,11/1/2015,0.12%
50,10/1/2015,0.12%
51,9/1/2015,0.14%
52,8/1/2015,0.14%
53,7/1/2015,0.13%
54,6/1/2015,0.13%
55,5/1/2015,0.12%
56,4/1/2015,0.12%
57,3/1/2015,0.11%
58,2/1/2015,0.11%
59,1/1/2015,0.11%
60,12/1/2014,0.12%
61,11/1/2014,0.09%
62,10/1/2014,0.09%
63,9/1/2014,0.09%
64,8/1/2014,0.09%
65,7/1/2014,0.09%
66,6/1/2014,0.1%
67,5/1/2014,0.09%
68,4/1/2014,0.09%
69,3/1/2014,0.08%
70,2/1/2014,0.07%
71,1/1/2014,0.07%
72,12/1/2013,0.09%
73,11/1/2013,0.08%
74,10/1/2013,0.09%
75,9/1/2013,0.08%
76,8/1/2013,0.08%
77,7/1/2013,0.09%
78,6/1/2013,0.09%
79,5/1/2013,0.11%
80,4/1/2013,0.15%
81,3/1/2013,0.14%
82,2/1/2013,0.15%
83,1/1/2013,0.14%
84,12/1/2012,0.16%
85,11/1/2012,0.16%
86,10/1/2012,0.16%
87,9/1/2012,0.14%
88,8/1/2012,0.13%
89,7/1/2012,0.16%
90,6/1/2012,0.16%
91,5/1/2012,0.16%
92,4/1/2012,0.14%
93,3/1/2012,0.13%
94,2/1/2012,0.1%
