,Health or fitness app,Revenue in U.S. dollars
0,Calorie Counter - MyFitnessPal,1443752
1,Fitbit,1432091
2,"Calm - Meditate, Sleep, Relax",1285105
3,"Strava: Track Running, Cycling & Swimming",1153954
4,Headspace: Meditation & Sleep,661976
5,"Komoot — Cycling, Hiking & Mountain Biking Maps",578910
6,Freeletics Training Coach – Bodyweight & Mindset,499003
7,"YAZIO Calorie Counter, Nutrition Diary & Diet Plan",498142
8,"Lifesum - Diet Plan, Macro Calculator & Food Diary",349361
9,"AllTrails: Hiking, Running & Mountain Bike Trails",334930
