,Year,Inflation rate compared to previous year
0,2025*,1.77%
1,2024*,1.56%
2,2023*,1.02%
3,2022*,0.88%
4,2021*,0.69%
5,2020*,-0.57%
6,2019,0.52%
7,2018,0.77%
8,2017,1.14%
9,2016,0.01%
10,2015,-1.09%
11,2014,-1.39%
12,2013,-0.85%
13,2012,1.04%
14,2011,3.12%
15,2010,4.7%
16,2009,1.35%
17,2008,4.23%
18,2007,2.99%
19,2006,3.31%
20,2005,3.49%
21,2004,3.02%
22,2003,3.45%
23,2002,3.92%
24,2001,3.64%
25,2000,2.9%
26,1999,2.14%
27,1998,4.52%
28,1997,5.44%
29,1996,7.87%
30,1995,8.82%
31,1994,10.88%
32,1993,14.35%
33,1992,15.87%
34,1991,19.5%
35,1990,20.35%
36,1989,13.71%
37,1988,13.48%
38,1987,16.36%
39,1986,23.11%
40,1985,19.53%
