,Year,Inflation rate compared to previous year
0,2024*,1.76%
1,2023*,1.65%
2,2022*,1.55%
3,2021*,1.45%
4,2020*,1.26%
5,2019*,1.19%
6,2018,1.17%
7,2017,0.84%
8,2016,0.39%
9,2015,-0.16%
10,2014,1.21%
11,2013,2.22%
12,2012,3.16%
13,2011,3.32%
14,2010,1.69%
15,2009,1.63%
16,2008,3.92%
17,2007,1.58%
18,2006,1.28%
19,2005,0.77%
20,2004,0.15%
21,2003,1.29%
22,2002,2.01%
23,2001,2.67%
24,2000,2.95%
25,1999,1.31%
26,1998,1.35%
27,1997,1.22%
28,1996,1.06%
29,1995,0.4%
30,1994,1.61%
31,1993,3.33%
32,1992,3.25%
33,1991,4.55%
34,1990,4.96%
35,1989,6.57%
36,1988,5.14%
37,1987,4.08%
38,1986,2.9%
39,1985,5.82%
40,1984,7%
