,Month,Number of cases
0,"January 5, 2021",779548
1,"January 4, 2021",772103
2,"January 3, 2021",765350
3,"January 2, 2021",758473
4,"January 1, 2021",751270
5,"December 31, 2020",743198
6,"December 30, 2020",735124
7,"December 29, 2020",727122
8,"December 28, 2020",719219
9,"December 27, 2020",713365
10,"December 26, 2020",706837
11,"December 25, 2020",700097
12,"December 24, 2020",692838
13,"December 23, 2020",685639
14,"December 22, 2020",678125
15,"December 21, 2020",671778
16,"December 20, 2020",664930
17,"December 19, 2020",657948
18,"December 18, 2020",650197
19,"December 17, 2020",643508
20,"December 16, 2020",636154
21,"December 15, 2020",629429
22,"December 14, 2020",623309
23,"December 13, 2020",617820
24,"December 12, 2020",611631
25,"December 11, 2020",605243
26,"December 10, 2020",598933
27,"December 9, 2020",592900
28,"December 8, 2020",586842
29,"December 7, 2020",581550
30,"December 6, 2020",575796
31,"December 5, 2020",569707
32,"December 4, 2020",563680
33,"December 3, 2020",557877
34,"December 2, 2020",549508
35,"December 1, 2020",543975
36,"November 30, 2020",538883
37,"November 29, 2020",534266
38,"November 28, 2020",527999
39,"November 27, 2020",522581
40,"November 26, 2020",516753
41,"November 25, 2020",511836
42,"November 24, 2020",506302
43,"November 23, 2020",502110
44,"November 22, 2020",497668
45,"November 21, 2020",493308
46,"November 20, 2020",488310
47,"November 19, 2020",483518
48,"November 18, 2020",478720
49,"November 17, 2020",474455
50,"November 16, 2020",470648
51,"November 15, 2020",467113
52,"November 14, 2020",463007
53,"November 13, 2020",457735
54,"November 12, 2020",452291
55,"November 11, 2020",448118
56,"November 10, 2020",444348
57,"November 9, 2020",440569
58,"November 8, 2020",437716
59,"November 7, 2020",433836
60,"November 6, 2020",429574
61,"November 5, 2020",425796
62,"November 4, 2020",421731
63,"November 3, 2020",418375
64,"November 2, 2020",415402
65,"November 1, 2020",412784
66,"October 31, 2020",410088
67,"October 30, 2020",406945
68,"October 29, 2020",404048
69,"October 28, 2020",400483
70,"October 27, 2020",396454
71,"October 26, 2020",392934
72,"October 25, 2020",389712
73,"October 24, 2020",385980
74,"October 23, 2020",381910
75,"October 22, 2020",377541
76,"October 21, 2020",373109
77,"October 20, 2020",368842
78,"October 19, 2020",365240
79,"October 18, 2020",361867
80,"October 17, 2020",357762
81,"October 16, 2020",353461
82,"October 15, 2020",349160
83,"October 14, 2020",344749
84,"October 13, 2020",340622
85,"October 12, 2020",336716
86,"October 11, 2020",333449
87,"October 10, 2020",328952
88,"October 9, 2020",324658
89,"October 8, 2020",320564
90,"October 7, 2020",315714
91,"October 6, 2020",311176
92,"October 5, 2020",307120
93,"October 4, 2020",303498
94,"October 3, 2020",299506
95,"October 2, 2020",295499
96,"October 1, 2020",291182
97,"September 30, 2020",287008
98,"September 29, 2020",282724
99,"September 28, 2020",278722
100,"September 27, 2020",275213
101,"September 26, 2020",271339
102,"September 25, 2020",266845
103,"September 24, 2020",262022
104,"September 23, 2020",257388
105,"September 22, 2020",252923
106,"September 21, 2020",248852
107,"September 20, 2020",244676
108,"September 19, 2020",240687
109,"September 18, 2020",236519
110,"September 17, 2020",232628
111,"September 16, 2020",228993
112,"September 15, 2020",225030
113,"September 14, 2020",221523
114,"September 13, 2020",218382
115,"September 12, 2020",214746
116,"September 11, 2020",210940
117,"September 10, 2020",207203
118,"September 9, 2020",203342
119,"September 8, 2020",200035
120,"September 7, 2020",196989
121,"September 6, 2020",194109
122,"September 5, 2020",190665
123,"September 4, 2020",187537
124,"September 3, 2020",184268
125,"September 2, 2020",180646
126,"September 1, 2020",177571
127,"August 31, 2020",174796
128,"August 30, 2020",172053
129,"August 29, 2020",169195
130,"August 28, 2020",165887
131,"August 27, 2020",162884
132,"August 26, 2020",160165
133,"August 25, 2020",157859
134,"August 24, 2020",155412
135,"August 23, 2020",153535
136,"August 22, 2020",151498
137,"August 21, 2020",149408
138,"August 20, 2020",147211
139,"August 19, 2020",144945
140,"August 18, 2020",143043
141,"August 17, 2020",141370
142,"August 16, 2020",139549
143,"August 15, 2020",137468
144,"August 14, 2020",135123
145,"August 13, 2020",132816
146,"August 12, 2020",130718
147,"August 11, 2020",128776
148,"August 10, 2020",127083
149,"August 9, 2020",125396
150,"August 8, 2020",123503
151,"August 7, 2020",121226
152,"August 6, 2020",118753
153,"August 5, 2020",116671
154,"August 4, 2020",115056
155,"August 3, 2020",113134
156,"August 2, 2020",111455
157,"August 1, 2020",109936
158,"July 31, 2020",108376
159,"July 30, 2020",106336
160,"July 29, 2020",104432
161,"July 28, 2020",102051
162,"July 27, 2020",100303
163,"July 26, 2020",98778
164,"July 25, 2020",97286
165,"July 24, 2020",95418
166,"July 23, 2020",93657
167,"July 22, 2020",91751
168,"July 21, 2020",89869
169,"July 20, 2020",88214
170,"July 19, 2020",86521
171,"July 18, 2020",84882
172,"July 17, 2020",83130
173,"July 16, 2020",81668
174,"July 15, 2020",80094
175,"July 14, 2020",78572
176,"July 13, 2020",76981
177,"July 12, 2020",75699
178,"July 11, 2020",74018
179,"July 10, 2020",72347
180,"July 9, 2020",70736
181,"July 8, 2020",68079
182,"July 7, 2020",66226
183,"July 6, 2020",64958
184,"July 5, 2020",63749
185,"July 4, 2020",62142
186,"July 3, 2020",60695
187,"July 2, 2020",59394
188,"July 1, 2020",57770
189,"June 30, 2020",56385
190,"June 29, 2020",55092
191,"June 28, 2020",54010
192,"June 27, 2020",52812
193,"June 26, 2020",51427
194,"June 25, 2020",50187
195,"June 24, 2020",49009
196,"June 23, 2020",47896
197,"June 22, 2020",46845
198,"June 21, 2020",45891
199,"June 20, 2020",45029
200,"June 19, 2020",43803
201,"June 18, 2020",42762
202,"June 17, 2020",41431
203,"June 16, 2020",40400
204,"June 15, 2020",39294
205,"June 14, 2020",38277
206,"June 13, 2020",37420
207,"June 12, 2020",36406
208,"June 11, 2020",35295
209,"June 10, 2020",34316
210,"June 9, 2020",33076
211,"June 8, 2020",32033
212,"June 7, 2020",31186
213,"June 6, 2020",30514
214,"June 5, 2020",29521
215,"June 4, 2020",28818
216,"June 3, 2020",28233
217,"June 2, 2020",27549
218,"June 1, 2020",26940
219,"May 31, 2020",26473
220,"May 30, 2020",25773
221,"May 29, 2020",25216
222,"May 28, 2020",24538
223,"May 27, 2020",23851
224,"May 26, 2020",23165
225,"May 25, 2020",22750
226,"May 24, 2020",22271
227,"May 23, 2020",21745
228,"May 22, 2020",20796
229,"May 21, 2020",20162
230,"May 20, 2020",19189
231,"May 19, 2020",18496
232,"May 18, 2020",18010
233,"May 17, 2020",17514
234,"May 16, 2020",17025
235,"May 15, 2020",16496
236,"May 14, 2020",16006
237,"May 13, 2020",15438
238,"May 12, 2020",14749
239,"May 11, 2020",14265
240,"May 10, 2020",14032
241,"May 9, 2020",13645
242,"May 8, 2020",13112
