,basketball team,Number of followers in millions
0,Los Angeles Lakers,39.7
1,Golden State Warriors,31.28
2,Chicago Bulls,26.54
3,Miami Heat,23.58
4,Houston Rockets,20.29
5,Cleveland Cavaliers,19.25
6,Boston Celtics,17.06
7,Oklahoma City Thunder,14.17
8,San Antonio Spurs,13.36
9,New York Knicks,10.28
10,Sacramento Kings,10.12
11,LA Clippers,8.01
12,Toronto Raptors,7.78
13,Dallas Mavericks,7.41
14,Indiana Pacers,6.15
15,Philadelphia 76ers,5.8
16,Brooklyn Nets,5.62
17,Washington Wizards,5.61
18,Portland Trail Blazers,5.36
19,Milwaukee Bucks,5.32
20,Orlando Magic,5.26
21,Minnesota Timberwolves,4.55
22,New Orleans Pelicans,4.47
23,Phoenix Suns,4.24
24,Atlanta Hawks,4.04
25,Denver Nuggets,4.01
26,Charlotte Hornets,3.83
27,Detroit Pistons,3.82
28,Memphis Grizzlies,3.75
29,Utah Jazz,3.67
