,Month,Units sold
0,Dec 19,2796
1,Nov 19,2712
2,Oct 19,2229
3,Sep 19,5535
4,Aug 19,2592
5,Jul 19,2970
6,Jun 19,3854
7,May 19,2828
8,Apr 19,2912
9,Mar 19,10043
10,Feb 19,1742
11,Jan 19,3700
12,Dec 18,2653
13,Nov 18,2970
14,Oct 18,2771
15,Sep 18,7271
16,Aug 18,3612
17,Jul 18,3636
18,Jun 18,4606
19,May 18,3825
20,Apr 18,3089
21,Mar 18,11896
22,Feb 18,1959
23,Jan 18,4282
24,Dec 17,2632
25,Nov 17,3523
26,Oct 17,2962
27,Sep 17,9831
28,Aug 17,1886
29,Jul 17,3840
30,Jun 17,5043
31,May 17,3397
32,Apr 17,3016
33,Mar 17,11635
34,Feb 17,2126
35,Jan 17,4010
36,Dec 16,3294
37,Nov 16,3373
38,Oct 16,2783
39,Sep 16,11495
40,Aug 16,1826
41,Jul 16,3886
