,Year,Percentage of change compared to previous year
0,2024*,2.14%
1,2023*,2.58%
2,2022*,2.8%
3,2021*,3.54%
4,2020*,2.96%
5,2019*,3.9%
6,2018,4.59%
7,2017,4.56%
8,2016,1.9%
9,2015,5.46%
10,2014,5.08%
11,2013,1.54%
12,2012,2.71%
13,2011,5.64%
14,2010,13.13%
15,2009,-13.08%
16,2008,-2.23%
17,2007,2.5%
18,2006,6.63%
19,2005,6.53%
20,2004,11.4%
21,2003,4.92%
22,2002,3.64%
23,2001,-2.8%
24,2000,12.89%
25,1999,11.3%
26,1998,11.69%
27,1997,13.47%
28,1996,8.69%
29,1995,8.01%
30,1994,11.93%
31,1993,8.65%
32,1992,7.01%
33,1991,-0.15%
34,1990,3.58%
