,Year,Cumulative number of COVID-19 tests
0,30 July,3946565
1,29 July,3899192
2,28 July,3863930
3,27 July,3801950
4,26 July,3761927
5,25 July,3717483
6,24 July,3697322
7,23 July,3659778
8,22 July,3573554
9,21 July,3573554
10,20 July,3520466
11,19 July,3481728
12,18 July,3437965
13,17 July,3387679
14,16 July,3341817
15,15 July,3302407
16,14 July,3257532
17,13 July,3212803
18,12 July,3183440
19,11 July,3142626
20,10 July,3098117
21,9 July,3055265
22,8 July,3020096
23,7 July,2975635
24,6 July,2940849
25,5 July,2914878
26,4 July,2885670
27,3 July,2848168
28,2 July,2770077
29,1 July,2770077
30,30 June,2721609
31,29 June,2676629
32,28 June,2640239
33,27 June,2598167
34,26 June,2558287
35,25 June,2518574
36,24 June,2482793
37,23 June,2444042
38,22 June,2415365
39,21 June,2382705
40,20 June,2339487
41,19 June,2295364
42,18 June,2254405
43,17 June,2216654
44,16 June,2183400
45,15 June,2152700
46,14 June,2113848
47,13 June,2072020
48,12 June,2028420
49,11 June,1989179
50,10 June,1955643
51,9 June,1930065
52,8 June,1896746
53,7 June,1868201
54,6 June,1830422
55,5 June,1824781
56,4 June,1787370
57,3 June,1751547
58,2 June,1721435
59,1 June,1691297
60,31 May,1663042
61,30 May,1631174
62,29 May,1593377
63,28 May,1530855
64,27 May,1502914
65,26 May,1500481
66,25 May,1479762
67,24 May,1454890
68,23 May,1405208
69,22 May,1401564
70,21 May,1377146
71,20 May,1372929
72,19 May,1336967
73,18 May,1319987
74,17 May,1296695
75,16 May,1265502
76,15 May,1203512
77,14 May,1172796
78,13 May,1145492
79,12 May,1121553
80,11 May,1032689
81,10 May,1028580
82,9 May,1067595
83,8 May,1005218
84,7 May,1001882
85,6 May,942526
86,5 May,919368
87,4 May,897444
88,3 May,893490
89,2 May,862080
90,1 May,806449
91,30 April,788283
92,29 April,758412
93,28 April,740859
94,27 April,717451
95,26 April,691663
96,25 April,669558
97,24 April,643398
98,23 April,620101
99,22 April,576348
100,21 April,565931
101,20 April,555551
102,19 April,536062
103,18 April,516216
104,17 April,503003
105,16 April,487060
106,15 April,462353
107,14 April,450717
108,13 April,428920
109,12 April,404651
110,11 April,401552
111,10 April,383322
112,09 April,373581
113,08 April,359269
114,07 April,336806
115,06 April,336806
116,05 April,311971
117,04 April,311971
118,03 April,290570
119,02 April,256933
120,01 April,250095
121,31 March,236851
122,30 March,221628
123,29 March,205097
124,28 March,184201
125,27 March,164564
126,26 March,158598
127,25 March,142154
128,24 March,107147
129,23 March,79399
130,22 March,79399
131,21 March,78417
132,20 March,66000
133,19 March,7775
134,18 March,7775
135,17 March,7775
136,16 March,7775
137,15 March,7775
138,14 March,7775
139,13 March,7775
140,12 March,7775
