,Month,Total earnings in million U.S. dollars
0,Conor McGregor,12.02
1,Alistair Overeem,8.7
2,Anderson Silva,8.11
3,Michael Bisping,7.14
4,Georges St-Pierre,7.04
5,Mark Hunt,6.3
6,Jon Jones,5.95
7,Donald Cerrone,5.5
8,Vitor Belfort,5.46
9,Daniel Cormier,5.29
10,Junior dos Santos,5.14
11,Brock Lesnar,5.08
12,Andrei Arlovski,4.77
13,Rashad Evans,4.74
14,Lyoto Machida,4.59
15,Mauricio 'Shogun' Rua,4.54
16,Dan Henderson,4.4
17,Chuck Liddell,4.38
18,Ronda Rousey,4.28
19,Tito Ortiz,4.14
20,Nate Diaz,4.1
21,Frankie Edgar,4.06
22,Tyron Woodley,3.97
23,Fabricio Werdum,3.88
24,Jose Aldo,3.81
25,Stipe Miocic,3.65
26,Chris Weidman,3.65
27,Robbie Lawler,3.6
28,Demetrious Johnson,3.54
29,Frank Mir,3.51
