,Year,Inflation rate compared to previous year
0,2025*,4.01%
1,2024*,3.98%
2,2023*,3.97%
3,2022*,3.61%
4,2021*,2.11%
5,2020*,2.14%
6,2019,3.7%
7,2018,3.75%
8,2017,4.43%
9,2016,4.45%
10,2015,2.39%
11,2014,3.42%
12,2013,4.34%
13,2012,3.78%
14,2011,6.22%
15,2010,3.86%
16,2009,1.86%
17,2008,11.36%
18,2007,6.82%
19,2006,6.56%
20,2005,9.11%
21,2004,7.58%
22,2003,5.6%
23,2002,8.14%
24,2001,7.28%
25,2000,5.98%
26,1999,5.21%
27,1998,6.62%
28,1997,9.24%
29,1996,11.06%
30,1995,8.41%
31,1994,12.51%
32,1993,13.36%
33,1992,10.24%
34,1991,35.11%
35,1990,37.98%
36,1989,12.99%
37,1988,10.3%
38,1987,10.85%
39,1986,32.78%
40,1985,19.18%
