,Year,Inflation rate compared to previous year
0,2025*,2%
1,2024*,2%
2,2023*,2%
3,2022*,2%
4,2021*,1.7%
5,2020*,4.4%
6,2019,-2.52%
7,2018,2.75%
8,2017,0.19%
9,2016,0.18%
10,2015,0.96%
11,2014,-0.89%
12,2013,2.29%
13,2012,0.47%
14,2011,2.93%
15,2010,0.94%
16,2009,0.46%
17,2008,11.31%
18,2007,0.05%
19,2006,0.04%
20,2005,7.81%
21,2004,0.25%
22,2003,-1.48%
23,2002,2.51%
24,2001,3.94%
25,2000,2.7%
26,1999,-2.06%
27,1998,4.57%
28,1997,2.93%
29,1996,5.34%
30,1995,10.86%
31,1994,35.53%
32,1993,-0.33%
33,1992,-5.91%
34,1991,1.5%
35,1990,-2.03%
36,1989,-0.82%
37,1988,0.6%
38,1987,-6.64%
39,1986,-3.25%
40,1985,-1.07%
