,Month,Number of confirmed cases
0,Dec 10,2337966
1,Dec 9,2324216
2,Dec 8,2309621
3,Dec 7,2295908
4,Dec 6,2292497
5,Dec 5,2281475
6,Dec 4,2268552
7,Dec 3,2257331
8,Dec 2,2244635
9,Dec 1,2230571
10,Nov 30,2222488
11,Nov 29,2218483
12,Nov 28,2208699
13,Nov 27,2196119
14,Nov 26,2183660
15,Nov 25,2170097
16,Nov 24,2153815
17,Nov 23,2144660
18,Nov 22,2140208
19,Nov 21,2127051
20,Nov 20,2109170
21,Nov 19,2086288
22,Nov 18,2065138
23,Nov 17,2036755
24,Nov 16,1991233
25,Nov 15,1981827
26,Nov 14,1954599
27,Nov 13,1922504
28,Nov 12,1898710
29,Nov 11,1865538
30,Nov 10,1829659
31,Nov 9,1807479
32,Nov 8,1787324
33,Nov 7,1748705
34,Nov 6,1661853
35,Nov 5,1601367
36,Nov 4,1543321
37,Nov 3,1502763
38,Nov 2,1466433
39,Nov 1,1413915
40,Oct 31,1364625
41,Oct 30,1331984
42,Oct 29,1282769
43,Oct 28,1235132
44,Oct 27,1198695
45,Oct 26,1165278
46,Oct 25,1138507
47,Oct 24,1086497
48,Oct 23,1041075
49,Oct 22,999043
50,Oct 21,957421
51,Oct 20,930745
52,Oct 19,910277
53,Oct 18,897034
54,Oct 17,867197
55,Oct 16,834770
56,Oct 15,809684
57,Oct 14,779063
58,Oct 13,756472
59,Oct 12,743479
60,Oct 11,734974
61,Oct 10,718773
62,Oct 9,691977
63,Oct 8,671638
64,Oct 7,653609
65,Oct 6,634763
66,Oct 5,624274
67,Oct 4,619190
68,Oct 3,606625
69,Oct 2,589543
70,Oct 1,577505
71,Sep 30,563535
72,Sep 29,550690
73,Sep 28,542639
74,Sep 27,538569
75,Sep 26,527446
76,Sep 25,513034
77,Sep 24,497237
78,Sep 23,481141
79,Sep 22,468069
80,Sep 21,458061
81,Sep 20,453763
82,Sep 19,442194
83,Sep 18,428696
84,Sep 17,415481
85,Sep 16,404888
86,Sep 15,395104
87,Sep 14,387252
88,Sep 13,381094
89,Sep 12,373911
90,Sep 11,363350
91,Sep 10,353944
92,Sep 9,344101
93,Sep 8,335524
94,Sep 7,328980
95,Sep 6,324777
96,Sep 5,317706
97,Sep 4,309156
98,Sep 3,300181
99,Sep 2,293024
100,Sep 1,286007
101,Aug 31,281025
102,Aug 30,277943
103,Aug 29,272530
104,Aug 28,267077
105,Aug 27,259698
106,Aug 26,253587
107,Aug 25,248158
108,Aug 24,244854
109,Aug 23,242899
110,Aug 22,238002
111,Aug 21,234400
112,Aug 20,229814
113,Aug 19,225043
114,Aug 18,221267
115,Aug 17,219029
116,Aug 16,218536
117,Aug 15,215521
118,Aug 14,212211
119,Aug 13,209365
120,Aug 12,206696
121,Aug 11,204172
122,Aug 10,202775
123,Aug 7,197921
124,Aug 6,195633
125,Aug 5,194029
126,Aug 4,192334
127,Aug 3,191295
128,Jul 31,187919
129,Jul 30,186573
130,Jul 29,185196
131,Jul 28,183804
132,Jul 27,183079
133,Jul 24,180528
134,Jul 23,179398
135,Jul 22,178336
136,Jul 21,177338
137,Jul 20,176754
138,Jul 17,174674
139,Jul 16,173838
140,Jul 15,173304
141,Jul 13,172377
142,Jul 10,170752
143,Jul 9,170094
144,Jul 8,169473
145,Jul 7,168810
146,Jul 6,168335
147,Jul 3,166960
148,Jul 2,166378
149,Jul 1,165719
150,Jun 30,164801
151,Jun 29,164260
152,Jun 28,163980
153,Jun 27,163454
154,Jun 26,162936
155,Jun 25,161348
156,Jun 24,161348
157,Jun 23,161267
158,Jun 22,160750
159,Jun 21,160377
160,Jun 20,160093
161,Jun 19,159452
162,Jun 18,158641
163,Jun 17,158174
164,Jun 16,157716
165,Jun 15,157372
166,Jun 14,157220
167,Jun 13,156813
168,Jun 12,156287
169,Jun 11,155561
170,Jun 10,155136
171,Jun 9,154591
172,Jun 8,154188
173,Jun 7,153977
174,Jun 6,153634
175,Jun 5,153055
176,Jun 4,152444
177,Jun 3,151677
178,Jun 2,151325
179,Jun 1,152091
180,May 31,151753
181,May 30,151496
182,May 29,149668
183,May 28,149071
184,May 27,145746
185,May 26,145555
186,May 25,145279
187,May 24,144921
188,May 23,144806
189,May 22,144566
190,May 21,144163
191,May 20,143845
192,May 19,143427
193,May 18,142903
194,May 17,142411
195,May 16,142291
196,May 15,141919
197,May 14,141356
198,May 13,140734
199,May 12,140227
200,May 11,139519
201,May 10,139063
202,May 9,138854
203,May 8,138421
204,May 7,137779
205,May 6,137150
206,May 5,132967
207,May 4,131863
208,May 3,131287
209,May 2,130979
210,May 1,130185
211,Apr 30,129581
212,Apr 29,128442
213,Apr 28,126835
214,Apr 27,125770
215,Apr 26,124575
