,Country,MRI units per million population
0,Japan,55.21
1,United States,40.44
2,Germany,34.71
3,Korea,30.08
4,Greece,29.35
5,Finland,28.82
6,Italy,28.73
7,Austria,23.53
8,Iceland,19.61
9,Spain,17.2
10,Ireland,16.03
11,New Zealand,15.44
12,France,15.43
13,Australia,14.78
14,Luxembourg,14.52
15,Estonia,13.62
16,Latvia,13.49
17,Netherlands,13.06
18,Slovenia,12.49
19,Lithuania,12.49
20,Chile,12.27
21,Belgium,11.61
22,Turkey,11.24
23,Czech Republic,10.35
24,Canada,10.35
25,Slovak Republic,9.55
26,Poland,9.22
27,Israel,5.18
28,Hungary,4.91
29,Mexico,2.65
30,Colombia,0.24
