,Country,Difference between actual and average estimate
0,Philippines,0%
1,India,-1%
2,Russia,-2%
3,South Africa,-2%
4,Saudi Arabia,-2%
5,Romania,-3%
6,Mexico,-4%
7,Malaysia,-7%
8,Brazil,-7%
9,Japan,-7%
10,United States,-8%
11,Sweden,-8%
12,Germany,-9%
13,Italy,-9%
14,Peru,-10%
15,Colombia,-10%
16,Hungary,-10%
17,China,-10%
18,United Kingdom,-11%
19,Turkey,-11%
20,Poland,-11%
21,Belgium,-12%
22,Spain,-12%
23,Singapore,-12%
24,Argentina,-12%
25,Chile,-12%
26,Australia,-12%
27,Canada,-12%
28,Netherlands,-13%
29,South Korea,-14%
30,France,-15%
31,Hong Kong,-15%
