,Brand/ segment,Percent market share by segment
0,Gillete Fusion/ cartridges,16.2%
1,Philips Norelco/ electric shaver groomer,51.2%
2,Gillette Mach3/ cartridges,15.4%
3,Degree Men's/ deodorant,7.6%
4,Gillette Fusion ProGlide/ cartridges,11.6%
5,Old Spice Red Zone/ toiletries and grooming,10.2%
6,Just for Men's/ hair coloring,63.3%
7,Axe/ liquid body wash,6.2%
8,Old Spice High Endurance/ deodorant,4.8%
9,Axe Dry/ deodorants,3.5%
10,Gillette Fusion ProGlide Power / Cartridges,6%
11,Dove Men+Care/ liquid body wash,4.3%
12,Edge/ shaving cream,16.2%
13,Edge/ toiletries and grooming,5.8%
14,Old Spice Red Zone/ deodorants,3%
15,Gillette Fusion Power/ cartridges,5.3%
16,Gillette Custom Plus/ disposables,6.6%
17,Old Spice/ toiletries and grooming,5.5%
18,Gillette Mach3 Turbo/ cartridges,4.8%
19,Dove Men+Care/ deodorant,2.6%
