,Year,Revenue in million U.S. dollars
0,2020,14625.0
1,2019,16091.0
2,2018,15314.0
3,2017,15778.0
4,2016,15304.0
5,2015,14180.0
6,2014,12711.0
7,2013,11385.0
8,2012,10247.0
9,2011,8956.0
10,2010,7914.0
11,2009,6542.9
12,2008,6414.5
13,2007,6131.7
14,2006,5722.5
15,2005,5129.3
16,2004,4781.8
17,2003,4658.4
18,2002,4669.6
19,2001,4648.9
20,2000,5017.4
21,1999,5042.6
22,1998,5460.0
23,1997,5538.2
24,1996,3964.66
25,1995,2997.86
26,1994,2432.68
27,1993,2528.85
28,1992,2270.88
29,1991,2141.46
30,1990,1755.5
31,1989,1362.15
32,1988,900.42
