,State,Unemployment rate
0,Alaska,6.1%
1,Mississippi,5.7%
2,District of Columbia,5.3%
3,West Virginia,5%
4,Louisiana,4.9%
5,New Mexico,4.7%
6,Arizona,4.6%
7,Pennsylvania,4.5%
8,Kentucky,4.3%
9,Washington,4.3%
10,Ohio,4.2%
11,New York,4%
12,California,3.9%
13,Michigan,3.9%
14,Delaware,3.9%
15,Nevada,3.8%
16,Connecticut,3.7%
17,North Carolina,3.7%
18,Oregon,3.7%
19,Wyoming,3.7%
20,Illinois,3.7%
21,Arkansas,3.6%
22,Texas,3.5%
23,New Jersey,3.5%
24,Maryland,3.5%
25,Rhode Island,3.5%
26,Montana,3.4%
27,Wisconsin,3.4%
28,Oklahoma,3.4%
29,Minnesota,3.3%
30,Tennessee,3.3%
31,Missouri,3.3%
32,Georgia,3.2%
33,South Dakota,3.2%
34,Kansas,3.2%
35,Indiana,3.2%
36,Nebraska,3.1%
37,Florida,3%
38,Maine,2.9%
39,Idaho,2.9%
40,Massachusetts,2.8%
41,Alabama,2.7%
42,Iowa,2.7%
43,New Hampshire,2.6%
44,Hawaii,2.6%
45,Virginia,2.6%
46,Colorado,2.5%
47,North Dakota,2.4%
48,Utah,2.3%
49,South Carolina,2.3%
50,Vermont,2.3%
