,business,Revenue in million U.S. dollars
0,"Wal-Mart Stores, Inc.*",476294
1,China Petroleum & Chemical Corporation,459852
2,China National Petroleum Corporation,444237
3,Royal Dutch Shell p.l.c.,421105
4,ExxonMobil Corporation,394105
5,BP p.l.c.,353568
6,State Grid Corporation of China,341092
7,Volkswagen AG,268872
8,Toyota Motor Corporation**,234076
9,Glencore p.l.c.,221073
10,Health Insurance Claims Review & Reimbursement Services,220165
11,Total SA,212018
12,Chevron Corporation,211970
13,"Samsung Electronics Co., Ltd.",195864
14,Berkshire Hathaway Inc.,194673
15,Apple Inc.***,182795
16,McKesson Corporation**,179045
17,Daimler AG,172475
18,Allianz SE,162356
19,EXOR SpA,162347
