,Year,Population in thousands
0,2020,6948.45
1,2019,7000.12
2,2018,7051.61
3,2017,7102.45
4,2016,7151.95
5,2015,7199.74
6,2014,7245.65
7,2013,7290.09
8,2012,7334.01
9,2011,7378.65
10,2010,7425.01
11,2009,7473.51
12,2008,7524.08
13,2007,7576.68
14,2006,7631.02
15,2005,7686.96
16,2004,7744.63
17,2003,7804.31
18,2002,7866.24
19,2001,7930.7
20,2000,7997.95
21,1999,8067.01
22,1998,8137.67
23,1997,8211.8
24,1996,8291.97
25,1995,8379.31
26,1994,8474.82
27,1993,8576.04
28,1992,8676.38
29,1991,8767.0
30,1990,8841.47
31,1989,8897.54
32,1988,8936.65
33,1987,8960.55
34,1986,8972.56
35,1985,8975.35
36,1984,8968.91
37,1983,8953.12
38,1982,8930.71
39,1981,8905.1
40,1980,8878.79
41,1979,8853.21
42,1978,8828.03
43,1977,8801.9
44,1976,8772.56
45,1975,8738.39
46,1974,8699.17
47,1973,8655.71
48,1972,8608.66
49,1971,8559.04
50,1970,8507.54
51,1969,8454.58
52,1968,8400.01
53,1967,8343.49
54,1966,8284.45
55,1965,8222.59
56,1964,8157.83
57,1963,8090.7
58,1962,8022.16
59,1961,7953.47
60,1960,7885.61
61,1959,7819.0
62,1958,7753.61
63,1957,7689.14
64,1956,7625.19
65,1955,7561.49
66,1954,7497.95
67,1953,7434.69
68,1952,7372.02
69,1951,7310.53
70,1950,7251.0
71,1949,7190.0
72,1948,7130.0
73,1947,7070.0
74,1946,7010.0
75,1945,6950.0
76,1944,6900.0
77,1943,6840.0
78,1942,6780.0
79,1941,6720.0
80,1940,6660.0
81,1939,6600.0
82,1938,6530.0
83,1937,6470.0
84,1936,6400.0
85,1935,6340.0
86,1934,6280.0
87,1933,6210.0
88,1932,6150.0
89,1931,6080.0
90,1930,6000.0
91,1929,5920.0
92,1928,5830.0
93,1927,5730.0
94,1926,5630.0
95,1925,5530.0
96,1924,5440.0
97,1923,5340.0
98,1922,5250.0
99,1921,5170.0
100,1920,5090.0
101,1919,5020.0
102,1918,4960.0
103,1917,4900.0
104,1916,4840.0
105,1915,4790.0
106,1914,4730.0
107,1913,4680.0
108,1912,4630.0
109,1911,4570.0
110,1910,4520.0
111,1909,4470.0
112,1908,4410.0
113,1907,4360.0
114,1906,4310.0
115,1905,4250.0
116,1904,4200.0
117,1903,4150.0
118,1902,4100.0
119,1901,4050.0
120,1900,3990.0
121,1899,3940.0
122,1898,3880.0
123,1897,3830.0
124,1896,3770.0
125,1895,3710.0
126,1894,3660.0
127,1893,3600.0
128,1892,3550.0
129,1891,3500.0
130,1890,3450.0
131,1889,3400.0
132,1888,3350.0
133,1887,3300.0
134,1886,3250.0
135,1885,3210.0
136,1884,3160.0
137,1883,3120.0
138,1882,3070.0
139,1881,3030.0
140,1880,2990.0
141,1879,2940.0
142,1878,2900.0
143,1877,2860.0
144,1876,2820.0
145,1875,2780.0
146,1874,2740.0
147,1873,2700.0
148,1872,2660.0
149,1871,2630.0
150,1870,2610.0
151,1869,2590.0
152,1868,2580.0
153,1867,2570.0
154,1866,2570.0
155,1865,2560.0
156,1864,2560.0
157,1863,2560.0
158,1862,2550.0
159,1861,2550.0
160,1860,2540.0
161,1859,2540.0
162,1858,2530.0
163,1857,2530.0
164,1856,2530.0
165,1855,2520.0
166,1854,2520.0
167,1853,2510.0
168,1852,2510.0
169,1851,2500.0
170,1850,2500.0
171,1849,2490.0
172,1848,2480.0
173,1847,2470.0
174,1846,2460.0
175,1845,2440.0
176,1844,2430.0
177,1843,2420.0
178,1842,2410.0
179,1841,2400.0
180,1840,2390.0
181,1839,2380.0
182,1838,2370.0
183,1837,2360.0
184,1836,2350.0
185,1835,2340.0
186,1834,2330.0
187,1833,2320.0
188,1832,2310.0
189,1831,2300.0
190,1830,2290.0
191,1829,2280.0
192,1828,2270.0
193,1827,2260.0
194,1826,2250.0
195,1825,2240.0
196,1824,2230.0
197,1823,2220.0
198,1822,2210.0
199,1821,2200.0
200,1820,2190.0
201,1819,2190.0
202,1818,2190.0
203,1817,2200.0
204,1816,2200.0
205,1815,2200.0
206,1814,2210.0
207,1813,2210.0
208,1812,2210.0
209,1811,2220.0
210,1810,2220.0
211,1809,2220.0
212,1808,2220.0
213,1807,2230.0
214,1806,2230.0
215,1805,2230.0
216,1804,2240.0
217,1803,2240.0
218,1802,2240.0
219,1801,2250.0
220,1800,2250.0
