,Year,Import volume in billion U.S. dollars
0,2019,677.86
1,2018,664.92
2,2017,611.9
3,2016,571.22
4,2015,592.74
5,2014,645.02
6,2013,613.06
7,2012,601.86
8,2011,578.2
9,2010,507.62
10,2009,402.9
11,2008,555.43
12,2007,527.77
13,2006,500.69
14,2005,460.49
15,2004,412.26
16,2003,359.65
17,2002,343.7
18,2001,347.61
19,2000,366.76
20,1999,308.43
21,1998,267.89
22,1997,253.17
23,1996,230.19
24,1995,206.47
25,1994,177.9
26,1993,151.13
27,1992,133.84
28,1991,122.19
29,1990,121.54
30,1989,115.12
31,1988,104.66
32,1987,91.36
33,1986,85.55
34,1985,88.14
